StudentID,Gender,City,CollegeTier,Stream,Specialisation,Hostel,HistoryOfBacklogs,SGPA_Sem1,SGPA_Sem2,SGPA_Sem3,SGPA_Sem4,SGPA_Sem5,SGPA_Sem6,SGPA_Sem7,SGPA_Sem8,CGPA,AttendancePercent,Internships,Projects,Workshops,Certifications,Publications,AptitudeTestScore,SoftSkillsRating,CodingTestScore,MockInterviewScore,ExtraCurricular,CGPA_Tier,PlacementStatus,IsAnomaly
1,Female,Delhi,Tier3,IT,DataScience,Yes,Yes,6.39,6.84,6.7,6.42,6.78,6.57,6.73,6.62,6.63,68.3,2,2,0.0,1,0,62.3,6.57,40.6,65.7,No,Medium,0,0
2,Male,Chennai,Tier2,ECE,AI,Yes,No,5.95,6.74,6.18,6.39,6.66,6.64,6.24,6.38,6.4,71.0,1,1,0.0,2,0,44.0,5.86,40.3,51.8,No,Medium,0,0
3,Female,Hyderabad,Tier3,ECE,Networking,No,No,7.13,8.11,7.37,7.69,7.64,7.64,7.74,8.52,7.73,75.1,1,2,2.0,2,1,73.8,7.5,73.6,67.9,No,High,1,0
4,Female,Jaipur,Tier3,ECE,Embedded,No,No,9.37,9.97,9.79,9.93,9.3,9.61,10.0,9.87,9.73,99.2,4,5,5.0,6,2,100.0,9.41,98.7,,No,Excellent,1,0
5,Male,Ahmedabad,Tier3,Mechanical,DataScience,No,No,8.25,8.99,9.45,8.87,9.3,8.52,9.14,9.53,9.01,99.6,2,3,,4,2,90.8,9.24,83.1,100.0,No,Excellent,1,0
6,Female,Hyderabad,Tier1,EE,AI,Yes,No,7.32,7.73,7.87,8.4,7.47,8.3,7.85,8.47,7.93,80.0,2,4,2.0,4,1,63.5,8.75,57.1,67.5,No,High,0,0
7,Female,Bangalore,Tier2,CS,AI,Yes,No,7.43,7.41,8.23,7.73,7.95,8.15,7.49,7.92,7.79,74.0,1,1,3.0,3,1,67.1,7.54,61.2,83.0,No,High,1,0
8,Female,Mumbai,Tier2,IT,Embedded,No,No,6.28,6.98,6.56,6.74,7.22,6.87,6.45,7.18,6.78,73.6,1,2,1.0,2,0,51.2,5.57,48.5,57.4,No,Medium,0,0
9,Male,Kolkata,Tier2,ECE,DataScience,No,No,6.44,6.75,6.6,6.44,7.16,6.47,7.17,6.13,6.64,72.1,1,1,1.0,0,0,54.7,4.8,,58.7,No,Medium,1,0
10,Male,Pune,Tier1,ECE,Embedded,No,Yes,7.6,8.06,7.95,8.47,8.76,8.4,8.5,8.66,8.3,82.1,3,4,4.0,3,1,,7.97,83.4,81.1,No,High,1,0
11,Male,Pune,Tier3,EE,Networking,No,No,7.27,7.56,7.61,8.02,7.35,7.82,8.27,8.19,7.76,81.6,1,4,3.0,3,1,73.8,7.87,78.1,63.2,No,High,1,0
12,Female,Jaipur,Tier2,ECE,Embedded,Yes,No,5.25,4.56,5.09,4.76,5.14,5.01,5.87,5.23,5.11,56.8,0,0,0.0,0,0,33.4,4.36,29.2,25.1,Yes,Low,0,0
13,Female,Mumbai,Tier3,ECE,AI,No,No,8.13,8.23,8.16,8.32,7.97,7.76,8.4,8.52,8.19,78.3,3,4,3.0,2,1,86.6,7.77,77.7,70.6,No,High,0,0
14,Female,Pune,Tier1,CS,DataScience,No,No,8.26,8.37,8.06,8.52,8.94,8.6,8.89,8.14,8.47,84.4,2,5,,4,1,82.4,7.34,82.9,90.4,No,High,0,0
15,Male,Pune,Tier3,IT,DataScience,No,No,7.54,7.09,7.67,7.51,8.21,7.28,7.53,7.43,7.53,80.6,0,2,4.0,4,1,62.3,6.7,,60.6,No,High,1,0
16,Male,Mumbai,Tier3,CS,Networking,No,No,7.87,8.5,8.54,7.77,7.85,8.37,8.09,8.53,8.19,90.2,3,4,3.0,2,2,77.6,8.02,68.0,73.4,No,High,0,0
17,Male,Hyderabad,Tier2,IT,DataScience,No,No,5.68,4.31,5.72,5.42,5.06,5.07,5.57,5.24,5.26,61.8,0,0,0.0,0,0,40.2,3.2,17.7,38.6,Yes,Low,0,0
